Company_Brand,Sector,Stage,HeadQuarter,BIO,Year,Amount
Credgenics,Technology,Pre-Series,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,3000000.0
GeoIQ,Artificial intelligence,Seed,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,300000.0
Country Delight,Dairy startup,Series C,Dhingsara,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,25000000.0
Quintype,Content management,Series A,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,3500000.0
CARS24,Retail,Series E and Beyond,Dhingsara,CARS24 is an India-based platform for selling used cars.,2020,200000000.0
Astrogate Labs,Spacetech,,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,0.0
Power Gummies,Health Care,Bridge,Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,0.0
Cityflo,Transport Services,Series A,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,7000000.0
AlgoBulls,Trading platform,,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,200000.0
Credgenics,Technology,Pre-Series,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,3000000.0
Inntot,Technology,,Kerala,"Inntot Technologies, is a technology driven company.",2020,0.0
Ensuredit,Technology,Pre-Series,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,300000.0
Shipsy,Artificial intelligence,Series A,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,6000000.0
ERPNext,Technology,,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,1000000.0
LightSpeedAI,Photonics startup,,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,0.0
Grip Invest,Technology,Pre-Series,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,0.0
Unacademy,Technology,,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,0.0
Yellow Classes,Technology,Pre-Series,Gurugram,New-age fun-learning platform for kids.,2020,1300000.0
Plum,Health Care,,Bangalore,High quality health insurance and health benefits,2020,4100000.0
STAGE,Entertainment,,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,1000000.0
Nykaa,Cosmetics,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,0.0
Kaagaz Scanner,Scanning app,,Undisclosed,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,575000.0
NIRA,Technology,,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,1000000.0
Prolixr,Skincare startup,Seed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,0.0
Byju's,Technology,,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,200000000.0
DaMENSCH,E-commerce,,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,6000000.0
Country Delight,Food and Beverages,Series C,Dhingsara,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,25000000.0
SignalX,Artificial intelligence,Seed,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,800000.0
Lancify,Technology,,Bangalore,Lancify is building the world's strongest young workforce,2020,300000.0
Krimanshi,Biotechnology company,Seed,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,600000.0
Instoried,Artificial intelligence,Pre-Series,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,1000000.0
PlayerzPot,Gaming startup,Series A,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,3000000.0
Instamojo,Technology,,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,0.0
Turtlemint,Health Care,,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,30000000.0
Arata,E-commerce,Pre-Series,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,1000000.0
MPL,Gaming startup,,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,5000000.0
True Balance,Technology,,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,28000000.0
Thrive,Technology,Pre-Series,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,0.0
Kitchens Centre,Proptech,Pre-Series,Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,0.0
Prescribe,Health Care,,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,100000.0
Nepra,Technology,Series C,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,18000000.0
inFeedo,Internet Services,,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,3200000.0
Shilpa Sciences,Health Care,Pre-Series,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,0.0
Arzooo,Technology,,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,0.0
MindTickle,Internet Services,Debt,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,100000000.0
Slice,Technology,Debt,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,5000000.0
Rapawalk,E-commerce,Seed,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,300000.0
Oga Fit's,Fitness startup,Pre-Series,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,0.0
LAVAL,Cosmetics,Pre-Series,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,0.0
Stride Ventures,Venture capitalist,,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,80000000.0
BlackSoil,Technology,,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,10000000.0
Biocon,Health Care,,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,15000000.0
Clientjoy,Internet Services,Pre-Series,Gujarat,Client Management Software For Modern Agencies.,2020,800000.0
Xpressbees,E-commerce,,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,100000000.0
GalaxyCard,Technology,Seed,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,0.0
Wellness Forever,Health Care,,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,100000000.0
MoooFarm,Technology,Pre-seed,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,500000.0
BitClass,Internest Services,Seed,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2000000.0
Gonuts,Entertainment,Seed,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,400000.0
Uolo,Technology,Seed,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2000000.0
Kirana King,Retail,Pre-Series,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,900000.0
Jade Forest,Beverages,Seed,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,250000.0
iKure,Health Care,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,0.0
FrontRow,Technology,Seed,Bangalore,"Comprehensive courses, taught by idols.",2020,3200000.0
Reliance Retail,E-commerce,,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,10000000.0
TUBBR,Social Media,,"Frisco, Texas, United States",World's First Personal Social Network,2020,0.0
Ather Energy,Automobiles,Series D,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,35000000.0
Routematic,Internet Services,,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2000000.0
LivFin,Technology,,Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,4700000.0
Universal Sportsbiz Pvt Ltd,Fashion startup,,Bangalore,A fashion startup based in Bengaluru.,2020,0.0
Lattu Kids,Technology,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,0.0
Eggoz,Food & Bevarages,Pre-Series,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,1500000.0
Steradian Semiconductors,Deeptech,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,0.0
CHARGE+ZONE,EV startup,Pre-Series,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,3000000.0
Stones2milestones,Technology,Bridge,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2000000.0
Udacity,Technology,Debt,Outside India,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,75000000.0
AjnaLens,AR/VR startup,Bridge,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,1000000.0
Gully Network,E-commerce,Pre-Series,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,1200000.0
TurboHire,Recruitment startup,Seed,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,1000000.0
Traya,Health Care,Seed,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,0.0
Charcoal Eats,QSR startup,,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,2000000.0
Mitron TV,Video platform,,Bangalore,Mitron is a free short videoplatform for next generation,2020,0.0
Svami,Food & Bevarages,,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,800000.0
Dhurnia,Technology,,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,2020,100000.0
Expertrons,Technology,,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,0.0
Leena AI,Artificial intelligence,,Outside India,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,8000000.0
Bizlog,Logistics,,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,1000000.0
Tamasha.live,Gaming,,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,300000.0
Fedo,Artificial intelligence,,Bangalore,Artificial Intelligence based Credit Score for Health,2020,1000000.0
FabHotels,Hospitality,,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,1000000.0
Freshokartz,Technology,Pre-Series,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,1000000.0
FlexiLoans,Technology,Debt,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,6000000.0
Agrix,Technology,,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,0.0
BharatAgri,Technology,Pre-Series,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,0.0
FreshtoHome,E-commerce,Series C,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,121000000.0
Credable,Technology,,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,4500000.0
Railofy,Transport Services,Seed,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,5000000.0
Finova Capital,Technology,,"Jaipur, Rajastan",Finova Capital is a non-banking financial company.,2020,55000000.0
Teachmint,Edtech,Seed,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,3500000.0
Peel-Works,E-commerce,,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,3000000.0
Janani,Fertility tech,Pre-seed,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,200000.0
Credgenics,Technology,Seed,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,3300000.0
Finelistings,Luxury car startup,,Delhi,A Used Luxury Car Marketplace,2020,0.0
Wellversed,Health Care,Pre-Series,Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,0.0
Jumbotail,E-commerce,Series B,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,11000000.0
Winzo,Gaming startup,,Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,2000000.0
mCaffeine,Cosmetics,Series B,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,5000000.0
Pocket FM,FM,Series A,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,5000000.0
Snackible,Health Care,Bridge,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,0.0
FreshtoHome,E-commerce,,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,16000000.0
Jumbotail,Retail,Series B,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,11000000.0
Nykaa,E-commerce,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,0.0
TagZ Foods,Food,,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,0.0
Genius Teacher,Edtech,,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2000000.0
Krimanshi Feeds,Nutrition sector,,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,500000.0
Origo,Technology,Debt,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,4000000.0
GetVantage,Technology,Seed,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,5000000.0
Betterplace,Technology,Series B,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,10000000.0
Biddano,Health Care,Pre-Series,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,600000.0
InVideo,Video,Series A,Mumbai,InVideo enables you to transform your content into great videos.,2020,15000000.0
Arzooo,Technology,Series A,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,7500000.0
Hubilo,Technology,Seed,Outside India,World’s smartest virtual event platform that brings Experience & Intelligence together,2020,4500000.0
BASIC Home Loan,Technology,Seed,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,5000000.0
Ketos,Artificial intelligence,,Outside India,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,18000000.0
SUGAR cosmetics,Cosmetics,Debt,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,2000000.0
Signzy,Technology,,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,5400000.0
Ahaguru,Edtech,Series A,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,0.0
Tekion,Artificial intelligence,Series C,Outside India,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,150000000.0
Brighteye Ventures,Edtech,,Outside India,Education technology venture capital firm.,2020,5400000.0
EzeRx,Medtech,Seed,Kolkata,Developer and manufacturer of medical devices,2020,200000.0
VitalTech,Technology,Seed,Outside India,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020,3000000.0
Ultraviolette Automotive,Automobiles,Series B,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,4000000.0
Tring,Social Media,,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,0.0
Rare Planet,Retail startup,Pre-Series,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,400000.0
GoodGamer,Gaming,Seed,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,2500000.0
InnAccel,Medtech,Pre-Series,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,1500000.0
Tiliter,Retail,,Outside India,Software that uses computer vision to recognise products without barcodes,2020,7500000.0
Slintel,Sles and marketing,,Outside India,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,4200000.0
SoOLEGAL,Technology,,Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,4000000.0
HobSpace,Edtech,Seed,Mumbai,India's Activity Hub for Kids,2020,200000.0
Supplynote,Internet Services,Seed,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,500000.0
Hire Me Car,Car Service,Seed,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,0.0
ShopUp,E-commerce,Series A,Outside India,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,22000000.0
Harmonizer India,Technology,,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,0.0
Zomato,Technology,,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,52000000.0
Dukaan,Technology,Seed,Mumbai,Developer of an android application designed for businesses to sell online.,2020,6000000.0
CredR,Bike marketplace,,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,2000000.0
Satyukt,Agri tech,Seed,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,500000.0
RACEnergy,Automobiles,,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,0.0
TREAD,Fitness startup,Pre-seed,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,1100000.0
Anveshan,Technology,Pre-seed,Bangalore,Provide quality and healthy food products,2020,100000.0
TeaMonk,Food & Bevarages,Pre-Series,Bangalore,India's Finest Specialty Tea company.,2020,900000.0
Fleetx,Technology,Pre-Series,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,3000000.0
ReNEWate,Real Estate,Pre-seed,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020,0.0
Tango Eye,Internet Services,Seed,Chennai,Retail Video Analytics SaaS product,2020,0.0
Rare Planet,Reatil startup,Pre-Series,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,0.0
Avataa Me,AR platform,Series A,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020,7000000.0
Arrival,EV startup,,Outside India,Arrival is a technology company that specializes in developing electric vehicles.,2020,118000000.0
Cover Genius,Technology,,Outside India,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020,15000000.0
Phononic Vibes,Deeptech,,Outside India,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2020,2300000.0
MikeLegal,Technology,Seed,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2020,0.0
Clair,Technology,Seed,Outside India,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2020,4500000.0
Gourmet Garden,Consumer Goods,,Outside India,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,2020,0.0
Miko,Artificial intelligence,Pre-Series,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020,3000000.0
Razorpay,Technology,Series D,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2020,100000000.0
Ninjacart,Food Industry,,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2020,30000000.0
Wow! Momo,Food Industry,Debt,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2020,5000000.0
Pepper Content,Content marketplace,Series A,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020,4200000.0
LIVSPACE,Interior Design,Debt,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2020,4000000.0
Acculi Labs,Health Care,Seed,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2020,600000.0
Your MD,Health Care,,Outside India,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2020,25000000.0
Antaios,Technology,,Outside India,Developer of memory-based technology intended to solve issues of advanced computing.,2020,11000000.0
Unnati,Technology,Pre-Series,Noida,A helping hand to the farming community through Artificial Intelligence,2020,1700000.0
Disprz,Edtech,Pre-Series,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2020,1600000.0
Uni,Technology,Seed,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2020,18500000.0
Credit Wise Capital,Technology,Seed,Mumbai,CreditWise Capital is a consumer finance company.,2020,6000000.0
Chargebee,Internet Services,Series E and Beyond,Outside India,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2020,55000000.0
Reliance Retail Ventures Ltd,Retail,,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,70000000000.0
Winuall,Edtech,,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2020,2000000.0
Genrobotics,Artificial intelligence,,"Trivandrum, Kerala, India",GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020,300000.0
Livve,Rental space,Seed,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020,1500000.0
Ergos,Technology,Series A,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,2020,5000000.0
Krishitantra,Technology,Seed,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020,1000000.0
PakkaProfile,Recruitment startup,Seed,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2020,0.0
Monet Networks,Artificial intelligence,Bridge,Outside India,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2020,500000.0
Unocoin,Technology,Series A,"Tumkur, Karnataka","Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2020,0.0
Pesto,Edtech,,Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2020,0.0
NirogStreet,Ayurveda tech,Pre-Series,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2020,2000000.0
Bambrew,Packaging solution startup,Pre-seed,Bangalore,Bambrew is an online shop for reusable bamboo straws.,2020,0.0
Omnify,Internet Services,Pre-Series,Outside India,Omnify is a Global SaaS platform for Small Services Business,2020,0.0
Fanball XI,Gaming,Seed,Delhi,The gaming company mostly focused on fantasy football games,2020,1000000.0
Treebo Hotels,Hospitality,,Bangalore,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",2020,6000000.0
GPS Renewables,Cleantech,Series A,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,2020,3000000.0
Public,Social Media,,Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2020,30000000.0
Legal Salah,Technology,Seed,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2020,1000000.0
FanPlay,Gaming,Seed,Delhi,FanPlay Technologies operates as a real-money gaming startup.,2020,0.0
ECOSTP,Sanitation solutions,,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in India.,2020,19000000.0
Coralogix,Internet Services,Series B,Outside India,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2020,25000000.0
Equiwatt,Technology,,Outside India,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2020,300000.0
Reliance Retail Ventures,E-commerce,,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,800000000.0
Zhangmen,Edtech,,Outside India,Zhangmen is an online tutoring platform provides tutoring courses to students.,2020,400000000.0
AgroWave,Technology,,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2020,500000.0
Sapio Analytics,Technology,,Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2020,150000.0
Taimei,Health Care,,Outside India,Taimei Technology provides a cloud platform for clinical research collaboration.,2020,176000000.0
Avanse Financial Services,Technology,,Mumbai,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",2020,15000000.0
Industry Buying,E-commerce,,Delhi,India's largest industrial ecommerce platform,2020,15000000.0
Hopscotch,E-commerce,,Mumbai,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2020,25000000.0
Pristyn Care,Health Care,,Gurugram,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,2020,11000000.0
WoodenStreet,Home,,Rajasthan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2020,1000000.0
ACKO,Technology,,Mumbai,Acko General Insurance is a private sector general insurance company in India.,2020,60000000.0
Farmers Fresh Zone,Technology,,Cochin,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2020,470000.0
Invento,Artificial intelligence,,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,2020,0.0
Infurnia,Technology,,Bangalore,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2020,240000.0
AnalytIQSports's SuperCric,Entertainment,,Bangalore,SuperCric is India's first strategy Cricket Manager simulation game,2020,0.0
Snowflake,Technology,,Outside India,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,2020,3000000000.0
GenieTalk,Technology,,Indore,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,2020,750000.0
Classplus,Technology,,Noida,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,2020,10000000.0
Mobile Premier League,Entertainment,,Bangalore,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,2020,74000000.0
Fourth Partner Energy,Solar solution,,Hyderabad,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2020,16000000.0
Flipkart,E-commerce,,Bangalore,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,2020,62000000.0
Vivriti Capital,Technology,,Chennai,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2020,1000000.0
InsuranceDekho,Technology,,Ludhiana,The funding for branding and marketing activities as well as strengthening the product and technology teams,2020,20000000.0
BestDoc,Health Care,,Cochin,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2020,2100000.0
Byju’s,Technology,,Bangalore,An Indian educational technology and online tutoring firm,2020,500000000.0
Melorra,Jewellery startup,,Bangalore,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2020,12500000.0
Reliance,Multinational conglomerate company,,Mumbai,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",2020,2200000000.0
Inflexor Ventures,Technology,,Mumbai,Experienced Venture Capital-General Partner focused on Technology investments.,2020,10000000.0
Pandorum,Deeptech startup,,Bangalore,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2020,5060000.0
